# Selection     : all 
# Volume        : 1.45160395e-05
# Time          	min(p)	min(epsilon)	min(k)
221             	-6.54217686e+00	2.42135446e-01	8.34463729e-04
222             	-6.54684249e+00	2.39142815e-01	8.23624038e-04
223             	-6.55416121e+00	2.36036348e-01	8.14173654e-04
224             	-6.56342403e+00	2.33328032e-01	8.03844408e-04
225             	-6.57416638e+00	2.30367849e-01	7.93566355e-04
226             	-6.58527406e+00	2.27422338e-01	7.84112804e-04
227             	-6.59969015e+00	2.24713114e-01	7.74959830e-04
228             	-6.61470371e+00	2.22090031e-01	7.65783526e-04
229             	-6.63100968e+00	2.19460262e-01	7.57772744e-04
230             	-6.64835545e+00	2.17164510e-01	7.50135020e-04
231             	-6.66601050e+00	2.14975671e-01	7.42865717e-04
232             	-6.68398311e+00	2.12892415e-01	7.37117493e-04
233             	-6.70064599e+00	2.11245074e-01	7.30548935e-04
234             	-6.71862256e+00	2.09362640e-01	7.23493387e-04
235             	-6.73653512e+00	2.07340642e-01	7.17489403e-04
236             	-6.75269898e+00	2.05620004e-01	7.10735101e-04
237             	-6.76979451e+00	2.03684339e-01	7.03632154e-04
238             	-6.78470580e+00	2.01648757e-01	6.97647018e-04
239             	-6.79897713e+00	1.99933521e-01	6.90901141e-04
240             	-6.81261899e+00	1.98000270e-01	6.83934535e-04
241             	-6.82444762e+00	1.96003762e-01	6.78154283e-04
242             	-6.83549632e+00	1.94347242e-01	6.71911998e-04
243             	-6.84457216e+00	1.92558312e-01	6.65539817e-04
244             	-6.85284520e+00	1.90732155e-01	6.60337232e-04
245             	-6.85870556e+00	1.89241185e-01	6.54709831e-04
246             	-6.86371977e+00	1.87628469e-01	6.49286885e-04
247             	-6.86686550e+00	1.86074347e-01	6.44451322e-04
248             	-6.86910577e+00	1.84688559e-01	6.40124475e-04
249             	-6.86965594e+00	1.83448559e-01	6.35914323e-04
250             	-6.86922348e+00	1.82242003e-01	6.32307804e-04
251             	-6.86742884e+00	1.81208437e-01	6.29566758e-04
252             	-6.86477765e+00	1.80422901e-01	6.26385194e-04
253             	-6.86095927e+00	1.79511120e-01	6.22984762e-04
254             	-6.85640576e+00	1.78536615e-01	6.20046702e-04
255             	-6.85086654e+00	1.77694618e-01	6.16980079e-04
256             	-6.84480295e+00	1.76815777e-01	6.13511012e-04
257             	-6.83805875e+00	1.75821603e-01	6.10098745e-04
258             	-6.83115032e+00	1.74843707e-01	6.07530763e-04
259             	-6.82347881e+00	1.74107768e-01	6.04073505e-04
260             	-6.81577351e+00	1.73116977e-01	6.00143007e-04
261             	-6.80801229e+00	1.71990565e-01	5.97015940e-04
262             	-6.80013943e+00	1.71094402e-01	5.93242651e-04
