# Selection     : all 
# Volume        : 1.45160395e-05
# Time          	max(p)	max(epsilon)	max(k)
243             	1.69575965e+01	3.49184738e+03	5.95607905e+00
244             	1.69498608e+01	3.49167168e+03	5.95392286e+00
245             	1.69311771e+01	3.49147568e+03	5.95168250e+00
246             	1.69260851e+01	3.49127468e+03	5.94937705e+00
247             	1.69154730e+01	3.49109205e+03	5.94701709e+00
248             	1.69132297e+01	3.49091941e+03	5.94466289e+00
249             	1.69093192e+01	3.49073429e+03	5.94229324e+00
250             	1.69101643e+01	3.49055679e+03	5.93992030e+00
251             	1.69118031e+01	3.49040719e+03	5.93755919e+00
252             	1.69158563e+01	3.49026245e+03	5.93522573e+00
253             	1.69212814e+01	3.49009797e+03	5.93293398e+00
254             	1.69283118e+01	3.48996119e+03	5.93069855e+00
255             	1.69366965e+01	3.48981681e+03	5.92853221e+00
256             	1.69460716e+01	3.48966626e+03	5.92644684e+00
257             	1.69563209e+01	3.48950155e+03	5.92445255e+00
258             	1.69672585e+01	3.48938541e+03	5.92255771e+00
259             	1.69788522e+01	3.48925616e+03	5.92077227e+00
260             	1.69905595e+01	3.48910652e+03	5.91910622e+00
261             	1.70025120e+01	3.48899308e+03	5.91757652e+00
262             	1.70143392e+01	3.48887177e+03	5.91616322e+00
