# Residuals     
# Time          	p               	Ux              	Uy              	k               	epsilon         
106             	2.56000284e-02	5.82055766e-03	4.18045246e-02	1.05950488e-02	8.86232202e-03
107             	2.59066079e-02	5.79678501e-03	4.14478539e-02	1.05753609e-02	8.87522976e-03
108             	2.59894874e-02	5.76173822e-03	4.13021747e-02	1.05523195e-02	8.88408251e-03
109             	2.61254678e-02	5.72914434e-03	4.07489250e-02	1.05279680e-02	8.89525669e-03
110             	2.68463072e-02	5.68994893e-03	4.04036339e-02	1.04985371e-02	8.90111864e-03
111             	2.68130237e-02	5.64807728e-03	3.98063927e-02	1.04689853e-02	8.90988226e-03
112             	2.76418323e-02	5.60191198e-03	3.92428544e-02	1.04358157e-02	8.91034095e-03
113             	2.73165377e-02	5.54790807e-03	3.85676193e-02	1.03999124e-02	8.91174249e-03
114             	2.71231602e-02	5.48990594e-03	3.77087871e-02	1.03624643e-02	8.90897911e-03
115             	2.82165634e-02	5.43343574e-03	3.70733503e-02	1.03262643e-02	8.90218367e-03
116             	2.79242259e-02	5.36723545e-03	3.63331390e-02	1.02839493e-02	8.89945129e-03
117             	2.74391312e-02	5.30159798e-03	3.54502148e-02	1.02403867e-02	8.87933084e-03
118             	2.71970627e-02	5.23140234e-03	3.45963371e-02	1.01952013e-02	8.84044368e-03
119             	2.69806388e-02	5.16186397e-03	3.38370582e-02	1.01472069e-02	8.80188106e-03
120             	2.70720631e-02	5.08896154e-03	3.30796163e-02	1.00969977e-02	8.76190775e-03
121             	2.66179440e-02	5.01351619e-03	3.22999866e-02	1.00448206e-02	8.70619180e-03
122             	2.63362416e-02	4.93725468e-03	3.15115386e-02	9.99099634e-03	8.62990371e-03
123             	2.58968706e-02	4.85971795e-03	3.08153108e-02	9.93050270e-03	8.56214514e-03
124             	2.54917421e-02	4.78094588e-03	3.02106387e-02	9.87279885e-03	8.49945309e-03
125             	2.53958972e-02	4.70293901e-03	2.96993597e-02	9.81682327e-03	8.41621826e-03
126             	2.50758970e-02	4.62719953e-03	2.91992296e-02	9.75780087e-03	8.32931248e-03
